epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8563,0.58638,2.2907,1.22781,0.6139,0.54958,0.59537,0.47691,0.70808,1.56173,1.29822,0.000331871,0.000331871,0.000331871
2,90.8195,0.60052,1.55937,1.21302,0.47538,0.55012,0.55641,0.41876,0.82428,1.58122,1.36493,0.000643253,0.000643253,0.000643253
3,145.686,0.60676,1.35466,1.21358,0.7102,0.45647,0.55201,0.43859,0.81049,1.51707,1.37716,0.000932635,0.000932635,0.000932635
4,200.214,0.62054,1.22554,1.21688,0.50426,0.67566,0.64515,0.54027,0.63374,1.2911,1.12898,0.000901,0.000901,0.000901
5,254.654,0.5804,1.11276,1.19324,0.85609,0.64412,0.77103,0.67516,0.5413,0.89045,1.04079,0.000868,0.000868,0.000868
6,309.17,0.54165,1.024,1.17099,0.62694,0.77878,0.78626,0.6544,0.57201,0.98574,1.07747,0.000835,0.000835,0.000835
7,363.189,0.51514,0.95347,1.15388,0.60312,0.75252,0.79458,0.71165,0.45345,1.04727,0.9173,0.000802,0.000802,0.000802
8,416.608,0.50024,0.91369,1.14394,0.75566,0.7669,0.82387,0.73044,0.49402,0.77364,0.95294,0.000769,0.000769,0.000769
9,468.81,0.49,0.87581,1.13561,0.78632,0.76177,0.83625,0.7554,0.44252,0.7288,0.90455,0.000736,0.000736,0.000736
10,511.794,0.49806,0.84205,1.14174,0.76483,0.76023,0.83121,0.75349,0.45155,0.83184,0.93254,0.000703,0.000703,0.000703
11,554.161,0.46886,0.79762,1.11679,0.82001,0.70869,0.83029,0.76524,0.40834,0.73428,0.88911,0.00067,0.00067,0.00067
12,596.31,0.45408,0.74745,1.10991,0.8322,0.77328,0.87915,0.80519,0.4166,0.69331,0.90793,0.000637,0.000637,0.000637
13,647.957,0.45928,0.74496,1.10979,0.80346,0.86381,0.90717,0.84078,0.40861,0.59521,0.88856,0.000604,0.000604,0.000604
14,700.801,0.4448,0.7134,1.09905,0.7987,0.77345,0.87065,0.80129,0.38776,0.66344,0.86718,0.000571,0.000571,0.000571
15,750.362,0.42655,0.68246,1.09333,0.8174,0.86556,0.89797,0.82429,0.41712,0.62908,0.89888,0.000538,0.000538,0.000538
16,803.162,0.43624,0.67315,1.10009,0.83458,0.85733,0.90379,0.83959,0.38005,0.5812,0.86104,0.000505,0.000505,0.000505
17,858.213,0.42638,0.6456,1.09007,0.8127,0.87146,0.88921,0.80522,0.43047,0.60219,0.89969,0.000472,0.000472,0.000472
18,913.433,0.41473,0.63895,1.0841,0.86545,0.87021,0.92491,0.86586,0.37127,0.54525,0.84062,0.000439,0.000439,0.000439
19,967.464,0.40902,0.60447,1.08541,0.86712,0.85596,0.91759,0.85048,0.38481,0.53817,0.8633,0.000406,0.000406,0.000406
20,1021.64,0.40225,0.59144,1.07446,0.85129,0.84854,0.92897,0.87471,0.34369,0.51175,0.83009,0.000373,0.000373,0.000373
21,1098.12,0.26939,0.45209,1.01309,0.83641,0.81278,0.9158,0.86663,0.34183,0.55747,0.8296,0.00034,0.00034,0.00034
22,1150.51,0.25853,0.38819,0.99614,0.82743,0.80066,0.88152,0.83196,0.36762,0.62511,0.84601,0.000307,0.000307,0.000307
23,1197.71,0.24776,0.36493,0.98652,0.88005,0.88086,0.92723,0.88604,0.31266,0.46742,0.79364,0.000274,0.000274,0.000274
24,1239.31,0.23944,0.33175,0.97949,0.89914,0.84051,0.91443,0.87537,0.31433,0.48939,0.79831,0.000241,0.000241,0.000241
25,1280.74,0.22707,0.30766,0.97108,0.85682,0.86425,0.92038,0.88459,0.30187,0.49581,0.78981,0.000208,0.000208,0.000208
26,1329.26,0.21665,0.28465,0.95602,0.89671,0.87498,0.94027,0.89917,0.29754,0.46859,0.78523,0.000175,0.000175,0.000175
27,1378.4,0.21089,0.27705,0.95675,0.89402,0.88232,0.93547,0.90282,0.29007,0.4583,0.77936,0.000142,0.000142,0.000142
28,1420.39,0.20338,0.24664,0.94935,0.87983,0.89273,0.93307,0.89568,0.28538,0.43442,0.76986,0.000109,0.000109,0.000109
29,1472.46,0.19391,0.22832,0.9405,0.89242,0.88766,0.93156,0.89419,0.28451,0.41779,0.76856,7.6e-05,7.6e-05,7.6e-05
30,1528.53,0.19028,0.21999,0.94044,0.88084,0.90528,0.9351,0.90089,0.28575,0.42255,0.77409,4.3e-05,4.3e-05,4.3e-05
